who1;who;text
2;1;Сколько положительной энергии откуда питаемся
2;1;Ты Оля жизнерадостная очень приятно
2;1;Для приятной женщины всю жизнь пятёрочки бы ставил
2;1;СИМПАТИЧНАЯ И ПРИВЛЕКАТЕЛЬНАЯ ДАМА
2;1;Секси
2;1;Приятная женщина!
2;1;Милая
2;1;Милая
2;1;эх
2;1;ГРУСТИТЬ, ЗАЧЕМ? СТОИТЕ РЯДОМ С ДЕТСТВОМ, ПРИЯТНО ВСПОМНИТЬ ЮННЫЕ ГОДА.
2;1;Красивая женшина
2;1;Хорошая, Добрая, Приятная Женщина!
2;1;Красивая женшина
2;1;Привет
2;1;Хороша
2;1;Симпатичная красавица!
2;1;Ну очень прекрасная дама
2;1;Привет
2;1;Милашка
2;1;милая женщина)
2;1;Привет
2;1;Приятная,Милая Женщина!
2;1;Супер выглядишь
2;1;Салам Сабин ханум
2;1;Ты проста красвица
2;1;Salam
2;1;Salam
2;1;прелесть
2;1;Одын глаз,кууда смотрит аа)
2;1;А почему фото на пол лица?
2;1;Красивая глаза но почему. Такая. Грустная?
2;1;прелесть
2;1;Красавица
2;1;Это вашим родителям спасибо за такое чудо как вы и вам спасибо за то что вы радуете мои глаза и мою душу своей божественной красотой 
2;1;Вы божественно красивы, очень сексуальная и очень женственная девушка. Желаю вам всегда оставаться такой же милой и прекрасной) мы можем познакомиться
2;2;мерси
2;1;Добрый вечер .\nЖелаю приятного отдыха .
2;1;Salam
2;2;мерси)
2;1;Красатулю
1;1;Спосиба Наталия
1;2;ХОРОШЕНЬКИЙ
1;1;Ты тоже очень очень очень красивая 
1;1;Спасибо 
1;2;Вах вах вах какой m!!!
1;2;Брутальный m 
1;2;Ух ты! Какой классный!
1;2;Привет
1;1;Спасибо милая
1;2;Спасибо за оценки
1;2;Большое спасибо
1;2;Спасибо
1;1;Привет
1;2;Пр ивет
1;2;Ты, классный!
1;2;Ты очень красивый.
1;2;Ты класный парень.
1;2;красавчик
1;2;Это твоя комната ? Уютненько ..
1;2;Супер
1;2;:2
1;2;отлично смотритесь
1;2;Bu senin geleceyindi?
1;2;красавчик
1;2;Смотри замерзнеш???:)
1;2;зови в гости
1;2;Мммммм...вкусненько....
1;2;ДАЙ ПАРОЛЬ ТВОЕГО АЛЬБОМА
1;2;супер m!
1;2;Папина гордость......Уже такой большой.....++++555555
1;2;красив на этой фотке особенно!
1;1;Sagol canim.
1;2;симпотяжка!
1;2;Просто красавчик!!!!
1;2;Ммммм.....какой ты.....
1;2;У тебя очень красивые глаза,, хочеться в них утонуть,,,,,
1;2;С таким мужчиной,ничего не страшно,,,,,,,,
1;2;Нолду дархрам
1;2;Гарний.
1;2;Вот лучшее фото !
1;2;Семья с голоду не пропадет))
1;2;ти прелесть.
1;2;какой малиш просто прелесть вместе с тобой.
1;2;Солнишко ти прелесть
1;2;Нет,Нептун!!!
2;1;Просто мечта )
2;1;Замечательно выглядишь
2;1;Симпатичная
2;1;Солнешко ты очаровательна
2;1;Познакомится можна ?
2;1;Красивая вы
2;1;Красавица
2;1;Обидели меня
2;1;Учтите что я жду
2;1;Привет...хорошенькая)))))
2;1;Примите заявку, чуть чуть поговарим
2;1;Ты такая сексуальная хочу тебя
2;1;Пр
2;1;Просто красавица
2;1;Надоела))
2;1;Ты это смс прочти, Но не стирай, ты подожди! От сердца я его писал, И в нем я поцелуй послал!
2;1;Ты Афигенная зай!)
2;1;Красунья
2;1;Салам
2;1;Cox gzlsiniz dyr verin gzlliyini reklam etm bu skli burdan silsn daha yax olar
2;1;Красивая
2;1;Allah saxlasn
2;1;И в Баку надоели пишут.
2;1;Просто Очерователная. Мне бы такую
2;1;Очень красивая и симпатичная Леди 
2;1;Прекрасная дама
2;1;Приятная и красивая выгладите
2;1;Салам алейкум
2;1;Здравствуйте
2;1;100%istina Igorek!!!
2;1;Привет.
2;1;Вы классная.
2;1;Добрый день девушка мой знак симпатии к такой красоте
2;1;Салам
2;1;Привет
2;1;Ух ты какая шикарная девушка
2;1;Привет
2;1;Mehin xanim siz cox gozelsiz.
2;1;Krasivaya devushka bespodobnogo!!!
2;1;Privet
2;1;Красивые девушки как звёзды, ты их видешь а они тебя нет
2;1;КРАСИВАЯ
2;1;супер женщина!!!
2;1;Привет
2;1;Симпатичная
2;1;обоятельная
2;1;Настаяши ангел
2;1;Вы очень красивая леди
2;1;Mehriban xanim siz cox gozelsiz. Hec bu yawi size vermek olmaz.
2;1;,,63 ??? Я бы дал больше .
2;1;Милая
2;1;Свои фото, милая.
2;1;Хорошо сохранилась..
2;1;Можна свами познакомится ?
2;1;Ala dlqam poz o yazdgv qaqaw
2;1;Красавица
2;1;ваооо какая красивая девушка
2;1;Из за кризиса в стране цены на услуги снизились у тебя??
2;1;У меня нет слов, ты божественно мила.
2;1;Салам красотка
2;1;Номреви де
2;1;Крастка
2;1;Давай ко мне
2;1;Ангелочек
2;1;Привет)
2;1;Сексуальная девочка... особенно ротик!
2;1;прелестная
2;1;Абалденная милашка мммм
2;1;Привет симпатяшка
2;1;Привет! Красавица, Может общаемся?
2;1;Сдесь не нужно хотеть, сдесь нужно мечтать, чтоб провести с тобой всю жизнь рядом
2;1;Хочу к тебе
2;1;Axamn xeyir necsn
2;1;Very nice lady
2;1;Ти супер
2;1;ox gozelsen canm sni 8 mart qadnlar bayram ni tbrik edirm
2;1;Salam
2;1;Axamn xeyir
2;1;Очень симпотичное фото и девушка на нем миловидная,прелесть.!
2;1;Салам нецасан красавица скинь номер
2;1;Красавица
2;1;Кузларинг бунча чройли
2;1;Вах вах МААШШАЛЛАХ
2;1;Привет ! Классно фото просто прелесть 
2;1;Tanis olmaq olar?)
2;1;Прелесть. Я не могу тебе писать в личку
2;1;создана из магии и чар, Из ста восторженных и красочных рассветов, Ты словно резкий солнечный удар... Ты создана Богами и воспета ! Ты создана, чтобы дарить блаженство, Чтобы с ума сводить и восхищать. Ты ослепительна, ты просто совершенство... Спасибо тем, кто смог тебя создать
2;1;Заманчивая попачка...
2;1;Ты прелестна
2;1;Желанный ангелочек
2;1;Аланья...
2;1;фигурка что надо
2;1;Милашка
2;1;Ммм какая красивая!!!
2;1;Очерователная
2;1;Люблю,
2;1;ТЫ САМАЯ САМАЯ САМАЯ САМАЯ МИЛАЯ МИЛАЯ НЕЖНАЯ СЕКСУАЛЬНАЯ ПРЕКРАСНАЯ СЕКСАПИЛЬНАЯ ОЧАРОВАТЕЛЬНАЯ
2;1;классная попка хочу тебя уже
2;1;Ты мечта и сказка, хочу попасть в этот рассказ. Ты великолепна
2;1;Хорошая штучка...
2;1;Allah saxlasln.sizi.
2;1;ili oldurerem
2;1;Olerem senen oteri...
2;1;Давай Встретимся!?
2;1;Приятная Женщина!
2;1;шикарная Женьщина
2;1;Сладенькая...
2;1;Салом
2;1;Offf deli kimisen
2;1;Привет за сколько и где
2;1;Cox Gzelsen
2;1;Salam
2;1;Привет красавица давай познакомимся
2;1;сккси
2;1;5+
2;1;Салом кус кардуш
2;1;У вас 19...или 29...
2;1;Классная фигура классная фотка
2;1;Cox cazibedar
2;1;Красивая девушка супер
2;1;При
2;1;Напиши мне
2;1;Девочка Сказка!
2;1;Baslas eysenaa
2;1;Абалденная милашка мммм
2;1;Огооонь..
2;1;ыымммм
2;1;Какая шикарная девушка
2;1;Шикарноя фигура
2;1;Cox ehtiraslsan of
2;1;Сиз чох гозалсиз.
2;1;Тебе идёт красный цвет, ты желанное выглидиш
2;1;Super
2;1;Gozel ve cazibedar
2;1;gezel xanim!
2;1;Gozal ve cazibedar
2;1;Очерователная девушка
2;1;ИСТАРДИМ ЙАЗАМ СИЗА
2;1;Шикарная девушка!
2;1;Очень красивая 
2;1;Ты очень красивая
2;1;senin cox gozel gozlerin var
2;1;Привет
2;1;Ах Тамара увижу вас в будущей жизни,а хочется в этой
2;1;Gozel
2;1;Super
2;1;Sabahiniz xeyir xanim sizi tanimaq olar
2;1;Привет ть просто красавица
2;1;Super gzlsiz vzolunmaz
2;1;Salam
2;1;Красавица
2;1;Zehmet olmasa sexside yazardiz.MЙn size yaza bilmirem.
2;1;Salam
2;1;Cox gozelsiz.
2;1;Красивая
2;1;В просто настаяши
2;1;Такой красата реткий
2;1;Красота
2;1;В очень очень супер
2;1;Как дела
2;1;Добре вечир
2;1;Привет добрый день\n, счастие иметь обше\nние свами
2;1;Привет. Одинокая дама
2;1;Прелесть
2;1;Суппер ммммм
2;1;красавица
2;1;Allah seni qorusun.daima uzunuzden guluw eksiy olmasln
2;1;Салам
2;1;Красивая девушка
2;1;Девачка ты просто космос
2;1;Класс что надо
2;1;N qngsn
2;1;Я бы женился  на тибе ты классная 
2;1;Прочитай там я написал тибе
2;1;Ну да симпатичная не спорю но токая охуевшая
2;1;salam
2;1;Salam
2;1;Гox gГzЙlsЙn
2;1;Прелесть
2;1;Salam
2;1;Ана мая подруга
2;1;Слышь. ты брысь. Ага мая .
2;1;Красавица
2;1;Красавица!))
2;1;А. У. Е. Самая классная
2;1;Красивая
2;1;Ма ша Аллах ты так прекрасна собою милая 
2;1;Gozelsiz
2;1;Привет познакомиться есть желание, напиши мне
2;1;Salam xanlm
2;1;Привет красавица
2;1;Приветик какая же ты красивая безумно 
2;1;безумно красивая ..!!
2;1;Очень красивая и милая девушка. 
2;1;привет Тамара
2;1;Прекрасный взгляд
2;1;Ты гонишь кукла
2;1;В России говорят кавказские девушки верные это правда? 
2;1;Классная  да? Пупсик и 
2;1;Слышь ты чё такая дерзкая а )))) девушка кусочек наслаждения
2;1;Привет красавица
2;1;привет красавица
2;1;Прелесть лучезарная принцесса
2;1;Прекрасна
2;1;Cok guzel biy insansin
2;1;Привет,как ты ?
2;1;Красивая.
2;1;В них можно утонуть
2;1;Красивые глаза
2;1;Красивая
2;1;Красотуля.
2;1;Necesen
2;1;Salam
2;1;Нет слов твою красоту
2;1;Очень красиво выглядите
2;1;Netar San yaxsi
2;1;Guzel
2;1;Salam
2;1;Salam
2;1;Напиши мне в лс
2;1;Не за что. Ты прелесть
2;1;Gozel
2;1;Canm menim
2;2;Суппер красавица ,!
2;1;bu sekili harda cekmisen
2;1;El dayama
2;1;Вауу секси фонтастика
2;1;Киска
2;1;Kotikk
2;1;Gozelim
2;1;Bu wekili sil
2;1;Золушка в чёрным
2;1;Я нашол сваю снегурочку ура ура ура
2;1;Sennen doyan kiwi olmaz
2;1;Mishkaya bax shor goz hara baxir 
2;1;ox qesengsen
2;1;Белая фея
2;1;Ureyyyyy
2;1;Куколка
2;1;Менле гетсейдин луля алардым сене анджаг салат алыблар
2;1;Nuw olsun
2;1;Милая
2;1;Сanikommm
2;1;Babatsan haaa
2;1;Vot eto kukla barbi
2;1;Маникенка
2;1;Живая Барби. Прелесть просто
2;1;Как у вас там в Туркестане? 
2;1;Привет
2;1;Привет
2;1;Ты очен прикрасная 
2;1;Salam
2;1;Красавица
2;1;Heyatsan
2;1;Там внизу идите нахер она моя
2;1;Mmm wow
2;1;тобой ненаестся)
2;1;Сладкие губки
2;1;Красивая
2;1;Красавица
2;1; Vkusnyashka!!!
2;1;Привет
2;1;Narahat etmedim??
2;1;Salam
2;1;Очаровательная женщина..
2;1;Привет
2;1;Привет
2;1;Приветик
2;1;Хорошо выглядите
2;1;Кел меним яныма сен хошума кнлдин
2;1;Salam necsiniz
2;1;нет слов.
2;1;Супер
2;1;обоятельная женщина
2;1;Симпатичная
2;2;Красивая женщина !!!
2;1;Привлекательная
2;1;Просто чудо нет слова
2;1;Супер
2;1;Красивая вы...и конечно приятная дама.
2;1;Супер красива просто настаяши ангел
2;1;Priyatnaya jenina
2;1;Привет ть просто красавица
2;1;Супер красива просто настаяши ангел
2;1;Salam
2;1;Я давно ищю такую и небольше и неменьше.\nНапиши мне г.Липецк.\nМожем по вайберу
2;1;Красивая
2;1;Супер
2;1;Красавица
2;1;Gzllik salam
2;1;Salam necesiz
2;1;Qesengsen Tanis ola bilerik
2;1;Salam axwamin xeyir
2;1;Красавица.
2;1;salam necesiz
2;1;Просто красавица
2;1;Гоы гГзЙл ыанДм
2;1;Супер нице
2;1;Йаз бу номера Вацап 896033
2;1;Симпатичная,красопета.Давай поближе познакомимся,встретимся?
2;1;Супер просто настаяши ангел
2;1;Вы великолепно выглядите
2;1;Очень симпотичное фото и девушка на нем миловидная
2;1;Красавица мне бы такую
2;1;Красавица
2;1;Салам красотка
2;1;Красавица
2;1;Сколько лампочки ,ты монтёр что-ли
2;1;Красавется
2;1;Познакомимся?
2;1;Супер красива просто насаяши ангел
2;1;Очень красивая
2;1;Привет у тебя милые и сногшебательные глаза
2;1;Классная ммм
2;1;Привет
2;1;Привет как дела
2;1;А вдруг я страшный, испугаешся. Прими дружбу мои фото в альбоме.
2;1;Мой принцип. ПРИШЕЛ,УВИДЕЛ И УКРАЛ.
2;1;В нем родненьком.
2;1;Украду.
2;1;Привет
2;1;Вы красивая
2;1;Привет красавица симпотичная прекрасноя очеревательна принцесса
2;1;Нефига себе,токая сексапильная ,а я даже и не замечал!!!
2;1;Красота...глаза очень.
2;1;Суппер
2;1;Прекрасно выглядишь
2;1;Красиво смотришь
2;1;Даже очень)))
2;1;Привет как дела
2;1;Выразительные глаза
2;1;Не плохо выглядишь !!!!
2;1;Привет землячка
1;2;Какой m!
1;2;Класс
1;2;Хорошенький
2;1;Красавица
2;1;Прелесть!пообщаемся?
1;2;Солнышко мое)
2;1;Ах, какая женщина! Мне б такую!
2;1;Ах, какая женщина! Мне б такую!
2;1;Ти супер замичателни улибка
2;1;Милая
2;1;Красавица
2;1;Доброе утро
2;1;ПРЕЛЕСТЬ
2;1;Ах какая
2;1;Напиши мне в вацап890949
2;1;Подружимся
2;1;Клёвая чувиха
2;1;Сексуальная девочка!
2;1;Прелесть
2;1;хочу в Кунгур !
2;1;не могу написать тебе(((
2;1;Сногшибательная Красавица
2;2;Мне 53
2;1;Ты не выглядешь на свои годы,тебе35
2;1;Женщина-конфетка:)))
2;1;Ммммммммм какая Сладенькая Прекрасная девушка
2;1;Очаровашка
2;2;Спасибо
2;1;Ты супер Алина!
2;2;Спасибо
2;1;Красавица!!!
2;2;Спасибо
2;1;прикрасно вглидеш
2;1;Ещё чуть повыше, было бы супер!
2;1;Красивая женщина!
2;1;ножки супер
2;2;Спасибо
2;1;Красавица ты
2;1;Алина ты очаровательна!
2;1;МИЛАШКА!
2;1;Ах очаровашка,красотка!
2;2;Спасибо
2;1;Ммммммммм какая Сладенькая Прекрасная Нежная Красавица
2;1;Очаровательна
2;1;хороша...везде
2;1;Красивенькая худенькая девочка
2;1;Конфетная 
2;1;Шикарная попка
2;1;На кухне ты супер
2;1;Ого,орешка хорошая.
2;1;классная фигурка
2;2;Классная жопка
2;1;Классная попка
2;1;Жалюзи классные!!!
2;1;МММ какая аппетитная,поцеловал бы
2;1;Попка супер ммммммм
2;1;подержаться бы за попку!
2;1;Обалденный вид!
2;2;Спасибо
2;1;шикарный вид!
2;1;Приветик. С вами познакомиться возможно? Я только за серйозные отношения, а вы?
2;1;На эту
2;1;Пошалим милая)? Пиши)
2;2;Спасибо
2;1;Вы здесь очень красивая
2;1;Прелесть
2;1;Лялька
2;1;Опоздал, корешок!
2;1;Прелестна!
2;1;Шикарная леди
2;1;ОЧЕРОВАТЕЛЬНАЯ.
2;2;Спасибо
2;1;Удивительная женщина!!!
2;1;Не удаляй анкету
2;1;Малодчинка отлично выглядишь
2;1;Милашка
2;1;У МЕНЯ КОНКУРЕНТЫ !!!???
2;1;Восхищаюсь твоей фигурой.
2;1;напиши мне котёнок
2;1;Ангелочек
2;1;Красивая напиши
2;1;Хорошенькая
2;1;Прелесть
2;2;Спасибо
2;1;Классная фото красотка
2;2;Холодно
2;1;МИЛАШКА
2;1;Мило
2;2;Мой
2;1;милашка
2;2;Спасибо
2;1;Ты самая красивая
2;2;Спасибо
2;1;Ты очень красивая сексуални
2;1;Очаровашка
2;1;Такой принцессе и зализать не грех))))
2;1;Мне бы такую жену!
2;1;Сладкая женщина
2;2;Спасибо
2;1;Принцесса!!!
2;1;шикарная девушка)
2;1;Модель!
2;1;Секси
2;1;Красотка
2;1;Красотулька
2;1;Обаяшка
2;2;Спасибо
2;1;класс приятная барышня
2;1;красуня
2;1;Симпатичная девочка
2;1;Просто прелесть
2;1;МэрилинМонро
2;2;Сам такой
2;1;Задавака
2;1;Мила
2;1;Хороша
2;1;Шикарная
2;2;Ну да..
2;1;Хорошая фигура
2;1;Ввав секси
2;1;Секси!!!)))
2;1;Паспорт врёт!.
2;2;Мне 52 ,что есть то и ставлю..
2;1;Можно ставить 32 не больше
2;1;Удивительно прекрасная,я бы так сказал даже
2;1;Красивая. Хороший ракурс
2;1;Не хрена себе это как так можно выглядеть что за эликсир то принимаете
2;1;Хорошенькая
2;1;Сексуально
2;2;Есть
2;1;А вам уже 18 есть?)
2;1;Богиня
2;2;Спасибо
2;1;Уууххххх
2;1;РАЗВЕРНИСЬ
2;1;Шикарна
2;1;Хороша
2;1;Хочу на плечи эти ножки)
2;1;Супер
2;1;Ваши фотографии,просто сводят с ума.продолжайте.
2;1;Ух
2;1;Да
2;1;Мммм сладенькая малышка
2;1;Очаровательная прекрасная девушка
2;2;Спасибо
2;1;Ты ангел миленькая девочка
2;2;Спасибо
2;1;Хорошенька
2;1;ОСТАТКИ ОТ ЛЮБИМОГО
2;1;очаровательная малышка
2;1;ШИКАРНАЯ ДЕВОЧКА...
2;2;Спасибо
2;1;Зачётное фото эротично.
2;1;Титички
2;2;Обед , плов готовила..
2;1;Это твой завтрак
2;1;Бусечка!!!
2;1;Божественная Леди
2;1;СИМПОТИЧНАЯ....
2;1;Милашка
2;1;Мур ау
2;1;Красавица!
2;2;Спасибо..
2;1;Хорошааааа спору нет
2;1;Реальная шоколадная конфетка 
2;1;На самом деле как конфетка так и хочется всю с есть
2;1;Стройная,Хорошенькая,Симпатулька !!!)
2;1;Согласен
2;1;Очаровашка)
2;1;Очаровательная девушка
2;1;Класс
2;1;ТОЧНО КОНФЕТКА......
2;1;Какая попка
2;1;Красавица.
2;2;День рождения внучки , 5 лет..
2;1;Детка конфетка сладкая какая-то чувство юмора какой праздник?
2;2;Спасибо
2;1;Хорошая Фигурка
2;1;Заманчиво
2;1;супер
2;2;Спасибо
2;1;такая ты прелесть, пипец!
2;2;Спасибо
2;1;Хорошо выглядишь...
2;1;Приятная женщина
2;1;Shikarnaya
2;1;Фигура ножки просто класс
2;1;Шикарна
2;1;Красотка
2;1;Хороша красотка.
2;1;Милашка!
2;1;Шикарная женщина. Жаль далека
2;1;Просто канфетка
2;1;Симпатичная!!!
2;1;Самая красивая девушка на этом белом свете
2;1;Красотка
2;1;Красотка
2;1;ШИКАРНАЯ ДЕВУШКА!!!
2;1;Прекрасна Дива
2;1;Красивенная какая
2;1;Красавица
2;2;Спасибо
2;1;Хорошааааа как всегда
2;1;Классная!
2;1;Красотка
2;1;Прими дружбу красавица
2;2;Спасибо..
2;1;Прелесть
2;1;СКИНЬТЕ ОДЕЖДЫ ОНИ ВАМ НЕ К СТАТЕ
2;1;Хочу ласкать эти ножки
2;1;Очень привлекательная женщина _
2;1;Сексуальная
2;1;супер
2;1;Прелесть
2;1;Милая Сексуальная Желанная девушка Но.......
2;1;Красавица.
2;1;Тигрица!!!
2;2;Спасибо
2;1;Потрясающе красива
2;1;Соблазняшка
2;1;Изумителна
2;1;"Милая стройняшка ;-)"
2;1;Прелесть...
2;2;Спасибо
2;1;Шикарно
2;1;Фото класс
2;1;Четко сохранилась
2;2;Спасибо
2;1;Оххх...хороша
2;1;Спортсменка
2;1;Просто красавица
2;1;О да да красунечка
2;1;Комсомолка!! Спортсменка!!!
2;1;Ух
2;1;Ух ты блин . Вот это Красотка
2;1;Можно познакомиться
2;1;Красивая
2;1;Привет познакомимся? напиши мне
2;1;Секси
2;1;мило
2;2;Милашка
2;1;Напиши мне есть розговор
2;1;Волшебна)
2;1;Симпатяшка
2;1;Привет красавица познакомимся
2;1;Прелесть  красивые глаза
2;1;Приветик по знакомимся
2;1;КРАСАВИЦА!!!
2;1;Очаровательная
2;1;Привет опасная
2;1;Очаровашка
2;1;Познакомимся
2;1;Привет,можно с вами познакомиться
2;1;Напиши мне
2;1;Привет
2;1;Приветик познакомимся гена
2;1;Шикарна! Напиши мне)))
2;1;Напиши мне
2;1;Красавица
2;1;Секси
2;1;Пиривет
2;1;Милая девочка
2;2;Богиня
2;1;Милашка
2;1;Напиши
2;1;Красавица
2;1;Приветик супер классная девчонка!!!!!
2;1;Вы такая милая и симпатичная ,что как магнит притягиваете всё ,что не приколочено.Успехов вам в поисках.Вижу есть из чего выбирать!
2;1;"Саня твой тёзка с денатуратом переборщил или просто еб...ый. \""Хулиганка\"" у вас и здесь бушуют страсти !!!"
2;1;Ты это к чему написал
2;1;Если да, 891946
2;1;Есть желание созвониться?
2;1;Старания неба не напрасны, Поверьте мне душа моя. Вы так милы и так прекрасны, И вами очарован я.
2;1;Красотка хороша  милашка 
2;1;Барби))))
2;1;Хорошенькая
2;1;Шикарна
2;1;Королева! Как звезда свети в небесах!
2;2;Красавица! !!!
2;1;Привет
2;1;Хорошенькая
2;1;Спасибо прелесть
2;1;Пиши если что
2;1;Привет
2;2;Та самая подружка любимая?
2;1;Приколно, столько позитива! Я вот с девушкой расстался, после двух лет отношений, не знаю куда себя деть.
2;1;Е ребята ех орлы
2;1;Давй обсудим чего небуд
2;1;Очем думаем мечтаем почему грусеной может чем помоч
2;1;ЛАПОЧКА.
2;1;"СИМПАТЮЛЬКА;)."
2;1;Не грусти)
2;1;Лапочька Ты Прекрасна.
2;1;Привет побшаемся ты очен шикарная
2;1;Напиши
2;1;Извени Хамка
2;1;Замка давай общаца
2;1;печальное черно-белое фото - мне, лично, нравилось больше)
2;2;Класснючая
2;2;Красивые глаза!
2;1;КРАСАВИЦА - К.,ОЧЕНЬ,ОЧЕНЬ,Нравится! ! !
2;1;красавица!
2;1;Блин...нефега себе глаза....красивый))
2;1;Красивые глазки
2;1;Привееет
2;1;Милашка!!!
2;1;Мило выглядишь!!!
2;1;Да ну извини если чо
2;1;Прям как Мальвина
2;1;"Хороша ;)"
2;1;Алла Борисовна ????
2;1;На пиши мне
2;1;Ух какая
2;1;Чур меня,чур...!!!!!!!!!!!!!
2;1;Уже, бухая. Вот красавчиг!
2;1;Уже, бухая. Вот красавчиг!
2;1;Прочие норм
2;2;вам очень идёт эта кожаная курточка!
2;2;стильно и красиво выглядите!
2;1;Ну прям королева да и только!!!! Слов не подберут!!!!
2;1;Пиши солнышко
2;1;Это глаза тигра
2;1;Вот это глаза,класс))))
2;1;Прекрасно выглядишь
2;1;Да я только один пирожок взял честно
2;1;Вы красивая слов нету
2;1;Ты симпатичная
2;1;Канешно,даже нужно
2;1;Познакомимся
2;1;Приветик солнышко
2;1;Привет рыжик
2;1;Рыжуля
2;1;Очень симпатичная
2;1;Прекрасно выглядишь
2;1;Какая интересная девачка
2;1;Привет
2;1;Привет
2;1;Очень Хорошая Алиса !
2;1;Красавица
2;1;Красотка 
2;1;Красотка
2;1;Познакомимся если не против я Павел
2;1;Очень мило выглядишь
2;1;Какая ты красивая
2;1;Привлекательная милашка 
2;1;Красавица
2;1;Приветик давай дружить
2;1;Красивый пейзаж, и ты очаровательна!
2;1;Привет, красотуля!
2;1;а тебе очень идьот прелесть
2;1;Королева красоты
2;1;симпатяшечка, прелесть!
2;1;Богиня страсти и любви
1;2;красавчик
1;2;девочки баня в азербайджане
1;2;И,хде Бан я?
1;1;Уже фото хочется увидеть
1;1;Кому надо мужика, такой пойдет.
1;2;Привет
2;1;Вы прекрасны)
2;1;lijni greq shbvenq
2;1;Ls.. Es inch lavn es
2;1;Chat lavikneq...
2;2;Красивая
2;1;Anabel@ qeznic siruna
2;1;Privet
2;1;Ты прекрасная
2;1;ко нкарна ?
2;1;Как будто барабашка под кроватью и голова под одеяла...,а вы женственны
2;1;Приветик красавица
2;1;5+++++
2;1;Добрый день Красота мой знак симпатии к такой с уважением Василий
2;1;АЗИЗ ВОЧ СМСЕМ КАРУМ ГРЕМ... ВОЧЕЛ ДРУЖИТЬЕМ КАРУМ ТАМ... ФОРЦИ ИНКТ...
2;1;Gri mi arhamari
2;1;Barev
2;1;Привет,ты очень красивая,напиши познакомимся
